,Last update date,Confirmed cases,Daily Confirmed Cases
48228,2021-03-23,14011.0,11.0
48397,2021-03-24,14038.0,27.0
48566,2021-03-25,14074.0,36.0
48735,2021-03-28,14147.0,73.0
48904,2021-03-29,14189.0,42.0
49073,2021-03-30,14220.0,31.0
49242,2021-03-31,14242.0,22.0
49411,2021-04-01,14285.0,43.0
49580,2021-04-04,14354.0,69.0
49749,2021-04-05,14387.0,33.0
49918,2021-04-06,14410.0,23.0
50087,2021-04-07,14431.0,21.0
50256,2021-04-08,14493.0,62.0
50425,2021-04-11,14594.0,101.0
50594,2021-04-12,14604.0,10.0
50763,2021-04-13,14674.0,70.0
50932,2021-04-14,14687.0,13.0
51101,2021-04-15,14729.0,42.0
51270,2021-04-18,14825.0,96.0
51439,2021-04-19,14841.0,16.0
51608,2021-04-20,14868.0,27.0
51777,2021-04-21,14899.0,31.0
51946,2021-04-22,14940.0,41.0
52115,2021-04-25,15023.0,83.0
52284,2021-04-26,15038.0,15.0
52453,2021-04-27,15071.0,33.0
52622,2021-04-28,15104.0,33.0
52791,2021-04-29,15152.0,48.0
52960,2021-05-02,15244.0,92.0
53129,2021-05-03,15282.0,38.0
53298,2021-05-04,15304.0,22.0
53467,2021-05-05,15350.0,46.0
53636,2021-05-06,15387.0,37.0
53805,2021-05-10,15447.0,60.0
53974,2021-05-11,15473.0,26.0
54143,2021-05-12,15483.0,10.0
54312,2021-05-13,15520.0,37.0
54481,2021-05-14,15551.0,31.0
54650,2021-05-17,15596.0,45.0
54819,2021-05-18,15602.0,6.0
54988,2021-05-19,15615.0,13.0
55157,2021-05-20,15623.0,8.0
55326,2021-05-21,15643.0,20.0
55495,2021-05-24,15665.0,22.0
55664,2021-05-25,15679.0,14.0
55833,2021-05-26,15688.0,9.0
56002,2021-05-27,15696.0,8.0
56171,2021-05-28,15701.0,5.0
56340,2021-06-01,15719.0,18.0
56509,2021-06-02,15722.0,3.0
56678,2021-06-03,15726.0,4.0
56847,2021-06-04,15738.0,12.0
57016,2021-06-07,15745.0,7.0
57185,2021-06-08,15751.0,6.0
57354,2021-06-09,15757.0,6.0
57523,2021-06-10,15757.0,0.0
57692,2021-06-11,15760.0,3.0
57861,2021-06-14,15767.0,7.0
58030,2021-06-15,15769.0,2.0
58199,2021-06-16,15772.0,3.0
58368,2021-06-17,15773.0,1.0
58537,2021-06-18,15777.0,4.0
58706,2021-06-21,15777.0,0.0
58875,2021-06-22,15776.0,-1.0
59044,2021-06-23,15779.0,3.0
59213,2021-06-24,15795.0,16.0
59382,2021-06-25,15814.0,19.0
59551,2021-06-28,15824.0,10.0
59720,2021-06-29,15829.0,5.0
59889,2021-06-30,15827.0,-2.0
60058,2021-07-01,15829.0,2.0
60227,2021-07-02,15828.0,-1.0
60396,2021-07-06,15835.0,7.0
60565,2021-07-07,15837.0,2.0
60734,2021-07-08,15838.0,1.0
60903,2021-07-09,15848.0,10.0
61072,2021-07-12,15846.0,-2.0
61241,2021-07-13,15852.0,6.0
61410,2021-07-14,15859.0,7.0
61579,2021-07-15,15858.0,-1.0
61748,2021-07-16,15863.0,5.0
61917,2021-07-19,15882.0,19.0
62086,2021-07-20,15883.0,1.0
62255,2021-07-21,15895.0,12.0
62424,2021-07-22,15915.0,20.0
62593,2021-07-23,15923.0,8.0
62762,2021-07-26,15949.0,26.0
62931,2021-07-27,15969.0,20.0
63100,2021-07-28,15974.0,5.0
63269,2021-07-29,16002.0,28.0
63439,2021-07-30,16020.0,18.0
63607,2021-08-02,16086.0,66.0
63776,2021-08-03,16111.0,25.0
63945,2021-08-04,16126.0,15.0
64114,2021-08-05,16171.0,45.0
64283,2021-08-06,16202.0,31.0
64452,2021-08-09,16270.0,68.0
64621,2021-08-10,16276.0,6.0
64790,2021-08-11,16324.0,48.0
64959,2021-08-12,16364.0,40.0
65128,2021-08-13,16374.0,10.0
65297,2021-08-16,16430.0,56.0
65466,2021-08-17,16467.0,37.0
65635,2021-08-18,16485.0,18.0
65804,2021-08-19,16527.0,42.0
65973,2021-08-20,16548.0,21.0
66142,2021-08-23,16626.0,78.0
66312,2021-08-24,16676.0,50.0
66480,2021-08-25,16689.0,13.0
66649,2021-08-26,16706.0,17.0
66818,2021-08-27,16732.0,26.0
66987,2021-08-30,16776.0,44.0
67156,2021-08-31,16821.0,45.0
67325,2021-09-01,16856.0,35.0
67494,2021-09-02,16885.0,29.0
67663,2021-09-03,16911.0,26.0
67832,2021-09-07,16960.0,49.0
68001,2021-09-08,16993.0,33.0
68170,2021-09-09,17010.0,17.0
68339,2021-09-10,17033.0,23.0
68508,2021-09-13,17085.0,52.0
68677,2021-09-14,17144.0,59.0
68846,2021-09-15,17158.0,14.0
69015,2021-09-16,17192.0,34.0
69184,2021-09-17,17238.0,46.0
69353,2021-09-20,17328.0,90.0
69522,2021-09-21,17335.0,7.0
69691,2021-09-22,17364.0,29.0
69860,2021-09-23,17383.0,19.0
70029,2021-09-24,17409.0,26.0
70198,2021-09-27,17466.0,57.0
70367,2021-09-28,17485.0,19.0
70536,2021-09-29,17491.0,6.0
70705,2021-09-30,17492.0,1.0
70874,2021-10-01,17527.0,35.0
71043,2021-10-04,17567.0,40.0
71212,2021-10-05,17584.0,17.0
71381,2021-10-06,17584.0,0.0
71550,2021-10-07,17606.0,22.0
71719,2021-10-08,17616.0,10.0
71888,2021-10-12,17649.0,33.0
72057,2021-10-13,17651.0,2.0
72226,2021-10-14,17678.0,27.0
72395,2021-10-15,17687.0,9.0
72564,2021-10-18,17730.0,43.0
72733,2021-10-19,17743.0,13.0
72902,2021-10-20,17766.0,23.0
73071,2021-10-21,17776.0,10.0
73240,2021-10-22,17790.0,14.0
73409,2021-10-25,17839.0,49.0
73578,2021-10-26,17844.0,5.0
73747,2021-10-27,17857.0,13.0
73916,2021-10-28,17859.0,2.0
74085,2021-10-29,17877.0,18.0
74254,2021-11-01,17918.0,41.0
74423,2021-11-02,17934.0,16.0
74592,2021-11-03,17947.0,13.0
74761,2021-11-04,17953.0,6.0
74930,2021-11-05,17955.0,2.0
75099,2021-11-08,17984.0,29.0
75268,2021-11-09,17989.0,5.0
75437,2021-11-10,17994.0,5.0
75606,2021-11-11,18003.0,9.0
75775,2021-11-12,18022.0,19.0
75944,2021-11-15,18091.0,69.0
76113,2021-11-16,18105.0,14.0
76282,2021-11-17,18122.0,17.0
76451,2021-11-18,18136.0,14.0
76620,2021-11-19,18159.0,23.0
76789,2021-11-22,18207.0,48.0
76958,2021-11-23,18221.0,14.0
77127,2021-11-24,18242.0,21.0
77296,2021-11-26,18265.0,23.0
77465,2021-11-29,18332.0,67.0
77634,2021-11-30,18350.0,18.0
77803,2021-12-01,18391.0,41.0
77972,2021-12-02,18448.0,57.0
78141,2021-12-03,18473.0,25.0
78310,2021-12-06,18586.0,113.0
78479,2021-12-07,18644.0,58.0
